userid,activity_count,login_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count
47058,71,2.0,56.0,1298,10.666665,0,0,0.0,3
47059,109,2.0,97.0,1298,8.75,0,0,1.0,2
47060,125,16.0,97.0,1206,9.5,0,0,1.0,2
47061,75,6.0,58.0,1298,9.416665,0,0,1.0,2
47062,79,5.0,64.0,1298,4.458335,0,0,0.0,2
47063,109,4.0,94.0,1298,7.625,0,0,0.0,2
47064,103,5.0,84.0,1295,7.75,0,0,0.66667,2
47065,123,3.0,108.0,1298,8.416665,0,0,0.0,2
47066,114,3.0,101.0,1298,6.916665,0,0,1.0,2
47068,260,6.0,238.0,1298,10.125,0,0,0.0,3
47069,96,9.0,76.0,1298,7.416665,0,0,0.0,2
47070,133,4.0,113.0,1298,12.666665,0,0,0.0,4
47071,56,3.0,45.0,1295,12.33333,0,0,1.0,1
47072,80,2.0,67.0,1298,7.291665,0,0,0.0,2
47073,234,6.0,203.0,1219,14.266668,0,0,1.0,7
47074,91,3.0,77.0,1298,6.25,0,0,0.0,2
47075,83,3.0,68.0,1298,8.083335,0,0,0.0,2
47076,361,7.0,340.0,1298,4.75,0,0,1.0,2
47077,96,2.0,78.0,1298,17.555553333,0,0,1.0,3
47079,193,15.0,148.0,1280,15.0,0,0,1.0,3
47080,95,3.0,81.0,1298,3.291665,0,0,1.0,2
47081,137,5.0,119.0,1242,8.625,0,0,0.0,2
47082,98,4.0,84.0,1201,8.416665,0,0,1.0,2
47083,116,6.0,94.0,1298,12.333335,0,0,0.0,3
47084,78,8.0,56.0,1298,6.958335,0,0,0.0,2
47085,162,6.0,146.0,1295,7.25,0,0,0.0,2
47086,160,15.0,134.0,1200,8.916665,0,0,0.0,2
47087,106,5.0,80.0,1298,11.166665,0,0,1.0,5
47088,73,5.0,57.0,1298,9.083335,0,0,0.0,2
47090,106,5.0,91.0,1298,8.916665,0,0,1.0,2
47091,92,6.0,76.0,1163,9.083335,0,0,0.0,2
47092,118,9.0,89.0,1183,8.75,0,0,1.0,2
47093,87,3.0,71.0,1295,6.083335,0,0,0.0,3
47095,61,1.0,55.0,1298,11.0,0,0,0.0,1
47096,106,4.0,92.0,1298,8.916665,0,0,1.0,2
